name,link,size
SD Gundam G Generation - Mono-Eye Gundams (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/SD%20Gundam%20G%20Generation%20-%20Mono-Eye%20Gundams%20%28Japan%29.wsc,8.00 MB
Senkaiden Ni - TV Animation Senkaiden Houshin Engi Yori (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Senkaiden%20Ni%20-%20TV%20Animation%20Senkaiden%20Houshin%20Engi%20Yori%20%28Japan%29.wsc,4.00 MB
Shaman King - Asu e no Ishi (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Shaman%20King%20-%20Asu%20e%20no%20Ishi%20%28Japan%29%20%28Rev%201%29.wsc,4.00 MB
Shaman King - Asu e no Ishi (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Shaman%20King%20-%20Asu%20e%20no%20Ishi%20%28Japan%29.wsc,4.00 MB
Sorobang (Japan) (Rev 1).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Sorobang%20%28Japan%29%20%28Rev%201%29.wsc,1.00 MB
Star Hearts - Hoshi to Daichi no Shisha (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Star%20Hearts%20-%20Hoshi%20to%20Daichi%20no%20Shisha%20%28Japan%29.wsc,4.00 MB
Star Hearts - Hoshi to Daichi no Shisha - Taikenban (Japan) (Not For Sale).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Star%20Hearts%20-%20Hoshi%20to%20Daichi%20no%20Shisha%20-%20Taikenban%20%28Japan%29%20%28Not%20For%20Sale%29.wsc,4.00 MB
Super Robot Taisen Compact 3 (Japan) (Rev 5).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Super%20Robot%20Taisen%20Compact%203%20%28Japan%29%20%28Rev%205%29.wsc,8.00 MB
Super Robot Taisen Compact 3 (Japan) (Rev 6).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Super%20Robot%20Taisen%20Compact%203%20%28Japan%29%20%28Rev%206%29.wsc,8.00 MB
Super Robot Taisen Compact for WonderSwan Color (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Super%20Robot%20Taisen%20Compact%20for%20WonderSwan%20Color%20%28Japan%29.wsc,4.00 MB
Terrors 2 (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Terrors%202%20%28Japan%29.wsc,4.00 MB
Tetris (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Tetris%20%28Japan%29.wsc,1.00 MB
Tonpuusou (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Tonpuusou%20%28Japan%29.wsc,1.00 MB
Uchuu Senkan Yamato (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Uchuu%20Senkan%20Yamato%20%28Japan%29.wsc,4.00 MB
Ultraman - Hikari no Kuni no Shisha (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Ultraman%20-%20Hikari%20no%20Kuni%20no%20Shisha%20%28Japan%29.wsc,2.00 MB
Wild Card (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Wild%20Card%20%28Japan%29.wsc,2.00 MB
With You - Mitsumete Itai (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/With%20You%20-%20Mitsumete%20Itai%20%28Japan%29.wsc,4.00 MB
Wizardry Scenario 1 - Proving Grounds of the Mad Overlord (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Wizardry%20Scenario%201%20-%20Proving%20Grounds%20of%20the%20Mad%20Overlord%20%28Japan%29.wsc,2.00 MB
Wonder Classic (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/Wonder%20Classic%20%28Japan%29.wsc,4.00 MB
X - Card of Fate (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/X%20-%20Card%20of%20Fate%20%28Japan%29.wsc,4.00 MB
XI Little (Japan).wsc,https://huggingface.co/datasets/luistiagos/roms/resolve/main/wswnc/XI%20Little%20%28Japan%29.wsc,2.00 MB
