manifest_path,mnemonic,rom_path
3ds/Cho-rich! Tamagotchi no Puchi Puchi Omisetchi (Japan).3ds,3ds,Cho-rich! Tamagotchi no Puchi Puchi Omisetchi (Japan).3ds
3ds/Chocoken no Chokotto Fushigi na Monogatari - Chocolat-hime to Mahou no Recipe (Japan).3ds,3ds,Chocoken no Chokotto Fushigi na Monogatari - Chocolat-hime to Mahou no Recipe (Japan).3ds
3ds/Chou Sentouchuu Kyuukyoku no Shinobi to Battle Player Choujou Kessen (Japan).3ds,3ds,Chou Sentouchuu Kyuukyoku no Shinobi to Battle Player Choujou Kessen (Japan).3ds
3ds/Chou Tousouchuu Atsumare! Saikyou no Tousousha-tachi (Japan).3ds,3ds,Chou Tousouchuu Atsumare! Saikyou no Tousousha-tachi (Japan).3ds
3ds/Choujin Ultra Baseball Action Card Battle (Japan).3ds,3ds,Choujin Ultra Baseball Action Card Battle (Japan).3ds
3ds/Chousoku Henkei Gyrozetter - Albatross no Tsubasa (Japan).3ds,3ds,Chousoku Henkei Gyrozetter - Albatross no Tsubasa (Japan).3ds
3ds/Classic Games Overload - Card & Puzzle Edition (USA).3ds,3ds,Classic Games Overload - Card & Puzzle Edition (USA).3ds
"3ds/Cloudy with a Chance of Meatballs 2 (Europe) (En,Fr,De,It,Nl).3ds",3ds,"Cloudy with a Chance of Meatballs 2 (Europe) (En,Fr,De,It,Nl).3ds"
"3ds/Cocoto - Alien Brick Breaker (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).3ds",3ds,"Cocoto - Alien Brick Breaker (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da,Fi).3ds"
"3ds/Code Name - S.T.E.A.M. (Europe) (En,Fr,De,Es,It).3ds",3ds,"Code Name - S.T.E.A.M. (Europe) (En,Fr,De,Es,It).3ds"
3ds/Code Name - S.T.E.A.M. - Lincoln VS Alien (Japan).3ds,3ds,Code Name - S.T.E.A.M. - Lincoln VS Alien (Japan).3ds
3ds/Code of Princess (USA).3ds,3ds,Code of Princess (USA).3ds
"3ds/Combat of Giants - Dinosaurs 3D (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da).3ds",3ds,"Combat of Giants - Dinosaurs 3D (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da).3ds"
"3ds/Combo Pack - Madagascar 3 - Europe's Most Wanted + Croods, The - Prehistoric Party! (Europe) (En,Fr,De,Es,It).3ds",3ds,"Combo Pack - Madagascar 3 - Europe's Most Wanted + Croods, The - Prehistoric Party! (Europe) (En,Fr,De,Es,It).3ds"
3ds/Conception II - Children of the Seven Stars (USA).3ds,3ds,Conception II - Children of the Seven Stars (USA).3ds
3ds/Conception II - Shichisei no Michibiki to Mazuru no Akumu (Japan).3ds,3ds,Conception II - Shichisei no Michibiki to Mazuru no Akumu (Japan).3ds
"3ds/Cooking Mama - Bon Appetit! (Europe) (En,Fr,De,Es,It).3ds",3ds,"Cooking Mama - Bon Appetit! (Europe) (En,Fr,De,Es,It).3ds"
3ds/Cooking Mama - Mamareul Dowajullae (Korea).3ds,3ds,Cooking Mama - Mamareul Dowajullae (Korea).3ds
3ds/Cooking Mama - Mamawa Naui Yori Sigan (Korea).3ds,3ds,Cooking Mama - Mamawa Naui Yori Sigan (Korea).3ds
"3ds/Cooking Mama - Sweet Shop (Europe) (En,Fr,De,Es,It).3ds",3ds,"Cooking Mama - Sweet Shop (Europe) (En,Fr,De,Es,It).3ds"
3ds/Cooking Mama - Watashi no Sweets Shop (Japan).3ds,3ds,Cooking Mama - Watashi no Sweets Shop (Japan).3ds
"3ds/Cooking Mama 4 (Europe) (En,Fr,De,Es,It).3ds",3ds,"Cooking Mama 4 (Europe) (En,Fr,De,Es,It).3ds"
3ds/Cooking Mama 4 - Kitchen Magic (USA) (Rev 1).3ds,3ds,Cooking Mama 4 - Kitchen Magic (USA) (Rev 1).3ds
3ds/Corpse Party (USA).3ds,3ds,Corpse Party (USA).3ds
3ds/Corpse Party - Blood Covered - Repeated Fear (Japan).3ds,3ds,Corpse Party - Blood Covered - Repeated Fear (Japan).3ds
3ds/Crash City Mayhem (USA).3ds,3ds,Crash City Mayhem (USA).3ds
"3ds/Crash Time 3D (Europe) (En,Fr,De,It).3ds",3ds,"Crash Time 3D (Europe) (En,Fr,De,It).3ds"
3ds/Crayon Shin-chan - Arashi wo Yobu Kasukabe Eiga Stars! (Japan).3ds,3ds,Crayon Shin-chan - Arashi wo Yobu Kasukabe Eiga Stars! (Japan).3ds
