name;link
Challenge Derby (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Challenge%20Derby%20%28Japan%29.rom?download=true
Champion Boxing (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Boxing%20%28Japan%29.rom?download=true
Champion Ice Hockey (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Ice%20Hockey%20%28Japan%29.rom?download=true
Champion Kendou (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Kendou%20%28Japan%29%20%28Alt%201%29.rom?download=true
Champion Kendou (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Kendou%20%28Japan%29.rom?download=true
Champion Pro Wrestling (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Pro%20Wrestling%20%28Japan%29%20%28Alt%201%29.rom?download=true
Champion Pro Wrestling (Japan) (Alt 2).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Pro%20Wrestling%20%28Japan%29%20%28Alt%202%29.rom?download=true
Champion Pro Wrestling (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Pro%20Wrestling%20%28Japan%29.rom?download=true
Champion Soccer (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Champion%20Soccer%20%28Japan%29.rom?download=true
Championship Lode Runner (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Championship%20Lode%20Runner%20%28Japan%29.rom?download=true
Checkers in Tantan Tanuki (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Checkers%20in%20Tantan%20Tanuki%20%28Japan%29.rom?download=true
Cheese (Japan) (Program).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Cheese%20%28Japan%29%20%28Program%29.rom?download=true
Chess (Japan).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Chess%20%28Japan%29.rom?download=true
Chess Game, The (Europe).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Chess%20Game%2C%20The%20%28Europe%29.rom?download=true
Choplifter (Japan) (Alt 1).rom;https://huggingface.co/datasets/luistiagos/roms/resolve/main/msx/Choplifter%20%28Japan%29%20%28Alt%201%29.rom?download=true
